"","Date","Year","Month","Day","Port","Landing_tm"
"344",2011-12-10,2011,12,10,"TAMBODMORA",2394
"345",2011-12-11,2011,12,11,"TAMBODMORA",1387
"346",2011-12-12,2011,12,12,"TAMBODMORA",2064
"347",2011-12-13,2011,12,13,"TAMBODMORA",1798
"348",2011-12-14,2011,12,14,"TAMBODMORA",3170
"349",2011-12-15,2011,12,15,"TAMBODMORA",2916
"350",2011-12-16,2011,12,16,"TAMBODMORA",3155
"351",2011-12-17,2011,12,17,"TAMBODMORA",5709
"352",2011-12-18,2011,12,18,"TAMBODMORA",3274
"353",2011-12-19,2011,12,19,"TAMBODMORA",4536
"354",2011-12-20,2011,12,20,"TAMBODMORA",1533
"355",2011-12-21,2011,12,21,"TAMBODMORA",585
"356",2011-12-22,2011,12,22,"TAMBODMORA",0
"357",2011-12-23,2011,12,23,"TAMBODMORA",0
"358",2011-12-24,2011,12,24,"TAMBODMORA",0
"359",2011-12-25,2011,12,25,"TAMBODMORA",0
"360",2011-12-26,2011,12,26,"TAMBODMORA",0
"361",2011-12-27,2011,12,27,"TAMBODMORA",0
"362",2011-12-28,2011,12,28,"TAMBODMORA",0
"363",2011-12-29,2011,12,29,"TAMBODMORA",0
"364",2011-12-30,2011,12,30,"TAMBODMORA",0
"365",2011-12-31,2011,12,31,"TAMBODMORA",0
"366",2012-01-01,2012,1,1,"TAMBODMORA",0
"367",2012-01-02,2012,1,2,"TAMBODMORA",1114
"368",2012-01-03,2012,1,3,"TAMBODMORA",1117
"369",2012-01-04,2012,1,4,"TAMBODMORA",1587
"370",2012-01-05,2012,1,5,"TAMBODMORA",1860
"371",2012-01-06,2012,1,6,"TAMBODMORA",2105
"372",2012-01-07,2012,1,7,"TAMBODMORA",1581
"373",2012-01-08,2012,1,8,"TAMBODMORA",1708
"374",2012-01-09,2012,1,9,"TAMBODMORA",2153
"375",2012-01-10,2012,1,10,"TAMBODMORA",826
"376",2012-01-11,2012,1,11,"TAMBODMORA",1328
"377",2012-01-12,2012,1,12,"TAMBODMORA",612
"378",2012-01-13,2012,1,13,"TAMBODMORA",338
"379",2012-01-14,2012,1,14,"TAMBODMORA",0
"380",2012-01-15,2012,1,15,"TAMBODMORA",0
"381",2012-01-16,2012,1,16,"TAMBODMORA",0
"382",2012-01-17,2012,1,17,"TAMBODMORA",100
"383",2012-01-18,2012,1,18,"TAMBODMORA",360
"384",2012-01-19,2012,1,19,"TAMBODMORA",255
"385",2012-01-20,2012,1,20,"TAMBODMORA",88
"386",2012-01-21,2012,1,21,"TAMBODMORA",290
"387",2012-01-22,2012,1,22,"TAMBODMORA",208
"388",2012-01-23,2012,1,23,"TAMBODMORA",89
"389",2012-01-24,2012,1,24,"TAMBODMORA",0
"390",2012-01-25,2012,1,25,"TAMBODMORA",0
"391",2012-01-26,2012,1,26,"TAMBODMORA",0
"392",2012-01-27,2012,1,27,"TAMBODMORA",0
"393",2012-01-28,2012,1,28,"TAMBODMORA",0
"394",2012-01-29,2012,1,29,"TAMBODMORA",0
"395",2012-01-30,2012,1,30,"TAMBODMORA",0
"396",2012-01-31,2012,1,31,"TAMBODMORA",0
"397",2012-02-01,2012,2,1,"TAMBODMORA",0
"398",2012-02-02,2012,2,2,"TAMBODMORA",0
"399",2012-02-03,2012,2,3,"TAMBODMORA",0
"400",2012-02-04,2012,2,4,"TAMBODMORA",0
"401",2012-02-05,2012,2,5,"TAMBODMORA",0
"402",2012-02-06,2012,2,6,"TAMBODMORA",0
"403",2012-02-07,2012,2,7,"TAMBODMORA",0
"404",2012-02-08,2012,2,8,"TAMBODMORA",0
"405",2012-02-09,2012,2,9,"TAMBODMORA",0
"406",2012-02-10,2012,2,10,"TAMBODMORA",0
"407",2012-02-11,2012,2,11,"TAMBODMORA",0
"408",2012-02-12,2012,2,12,"TAMBODMORA",0
"409",2012-02-13,2012,2,13,"TAMBODMORA",0
"410",2012-02-14,2012,2,14,"TAMBODMORA",0
"411",2012-02-15,2012,2,15,"TAMBODMORA",0
"412",2012-02-16,2012,2,16,"TAMBODMORA",0
"413",2012-02-17,2012,2,17,"TAMBODMORA",0
"414",2012-02-18,2012,2,18,"TAMBODMORA",0
"415",2012-02-19,2012,2,19,"TAMBODMORA",0
"416",2012-02-20,2012,2,20,"TAMBODMORA",0
"417",2012-02-21,2012,2,21,"TAMBODMORA",0
"418",2012-02-22,2012,2,22,"TAMBODMORA",0
"419",2012-02-23,2012,2,23,"TAMBODMORA",0
"420",2012-02-24,2012,2,24,"TAMBODMORA",0
"421",2012-02-25,2012,2,25,"TAMBODMORA",0
"422",2012-02-26,2012,2,26,"TAMBODMORA",0
"423",2012-02-27,2012,2,27,"TAMBODMORA",0
"424",2012-02-28,2012,2,28,"TAMBODMORA",0
"425",2012-02-29,2012,2,29,"TAMBODMORA",0
"426",2012-03-01,2012,3,1,"TAMBODMORA",0
"427",2012-03-02,2012,3,2,"TAMBODMORA",0
"428",2012-03-03,2012,3,3,"TAMBODMORA",0
"429",2012-03-04,2012,3,4,"TAMBODMORA",0
"430",2012-03-05,2012,3,5,"TAMBODMORA",0
"431",2012-03-06,2012,3,6,"TAMBODMORA",0
"432",2012-03-07,2012,3,7,"TAMBODMORA",0
"433",2012-03-08,2012,3,8,"TAMBODMORA",0
"434",2012-03-09,2012,3,9,"TAMBODMORA",0
"435",2012-03-10,2012,3,10,"TAMBODMORA",0
"436",2012-03-11,2012,3,11,"TAMBODMORA",0
"437",2012-03-12,2012,3,12,"TAMBODMORA",0
"438",2012-03-13,2012,3,13,"TAMBODMORA",0
"439",2012-03-14,2012,3,14,"TAMBODMORA",0
"440",2012-03-15,2012,3,15,"TAMBODMORA",0
"441",2012-03-16,2012,3,16,"TAMBODMORA",0
"442",2012-03-17,2012,3,17,"TAMBODMORA",0
"443",2012-03-18,2012,3,18,"TAMBODMORA",0
"444",2012-03-19,2012,3,19,"TAMBODMORA",0
"445",2012-03-20,2012,3,20,"TAMBODMORA",0
"446",2012-03-21,2012,3,21,"TAMBODMORA",0
"447",2012-03-22,2012,3,22,"TAMBODMORA",0
"448",2012-03-23,2012,3,23,"TAMBODMORA",0
"449",2012-03-24,2012,3,24,"TAMBODMORA",0
"450",2012-03-25,2012,3,25,"TAMBODMORA",0
"451",2012-03-26,2012,3,26,"TAMBODMORA",0
"452",2012-03-27,2012,3,27,"TAMBODMORA",0
"453",2012-03-28,2012,3,28,"TAMBODMORA",0
"454",2012-03-29,2012,3,29,"TAMBODMORA",0
"455",2012-03-30,2012,3,30,"TAMBODMORA",0
"456",2012-03-31,2012,3,31,"TAMBODMORA",0
"457",2012-04-01,2012,4,1,"TAMBODMORA",0
"458",2012-04-02,2012,4,2,"TAMBODMORA",0
"459",2012-04-03,2012,4,3,"TAMBODMORA",0
"460",2012-04-04,2012,4,4,"TAMBODMORA",0
"461",2012-04-05,2012,4,5,"TAMBODMORA",0
"462",2012-04-06,2012,4,6,"TAMBODMORA",0
"463",2012-04-07,2012,4,7,"TAMBODMORA",0
"464",2012-04-08,2012,4,8,"TAMBODMORA",0
"465",2012-04-09,2012,4,9,"TAMBODMORA",0
