"Colony","Month","Year","Date","NBrC","BrC","EgC","ChC","JuC","TotC","NBrB","BrB","EgB","ChB","JuB","TotB","NBrP","BrP","EgP","ChP","JuP","TotP"
"CHS",12,2001,2001-12-15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,22800,NA,NA,NA,NA,NA,0
"BA",12,2001,2001-12-15,NA,NA,NA,NA,NA,44000,NA,NA,NA,NA,NA,28200,NA,NA,NA,NA,NA,0
"CHN",1,2002,2002-01-15,NA,NA,NA,NA,NA,3000,NA,NA,NA,NA,NA,43750,NA,NA,NA,NA,NA,500
"CHC",1,2002,2002-01-15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,20500,NA,NA,NA,NA,NA,0
"CHS",1,2002,2002-01-15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,44200,NA,NA,NA,NA,NA,0
"BA",1,2002,2002-01-15,NA,NA,NA,NA,NA,52000,NA,NA,NA,NA,NA,23600,NA,NA,NA,NA,NA,0
"CHN",2,2002,2002-02-15,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,64800,NA,NA,NA,NA,NA,540
"CHC",2,2002,2002-02-15,NA,NA,NA,NA,NA,240,NA,NA,NA,NA,NA,29850,NA,NA,NA,NA,NA,0
"CHS",2,2002,2002-02-15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,31600,NA,NA,NA,NA,NA,0
"BA",2,2002,2002-02-15,NA,NA,NA,NA,NA,40800,NA,NA,NA,NA,NA,72900,NA,NA,NA,NA,NA,0
"CHN",3,2002,2002-03-15,NA,NA,NA,NA,NA,822,NA,NA,NA,NA,NA,69888,NA,NA,NA,NA,NA,395
"CHC",3,2002,2002-03-15,NA,NA,NA,NA,NA,160,NA,NA,NA,NA,NA,30110,NA,NA,NA,NA,NA,0
"CHS",3,2002,2002-03-15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,62400,NA,NA,NA,NA,NA,0
"BA",3,2002,2002-03-15,NA,NA,NA,NA,NA,80000,NA,NA,NA,NA,NA,150000,NA,NA,NA,NA,NA,50
"CHN",4,2002,2002-04-15,NA,NA,NA,NA,NA,18150,NA,NA,NA,NA,NA,69640,NA,NA,NA,NA,NA,410
"CHC",4,2002,2002-04-15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,31000,NA,NA,NA,NA,NA,0
"CHS",4,2002,2002-04-15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,61200,NA,NA,NA,NA,NA,10
"BA",4,2002,2002-04-15,NA,NA,NA,NA,NA,90000,NA,NA,NA,NA,NA,173500,NA,NA,NA,NA,NA,0
